category_list,funding_total_usd,status,country_code,city,funding_rounds,first_funding_at,last_funding_at,founded_year,status_class,fail,operating,success
Agriculture|Apps|Information Technology|Internet|Mobile|Social Entrepreneurship|Telecommunications,1500000.0,operating,MUS,Ebène,1,2014-05-27,2014-05-27,2006,operating,0,1,0
Software,94000000.0,operating,USA,Orlando,4,2012-02-01,2015-08-21,2002,operating,0,1,0
Finance,,operating,USA,San Francisco,1,2015-03-23,2015-03-23,2012,operating,0,1,0
Health and Wellness,25000.0,operating,USA,Pittsburgh,2,2013-06-04,2015-04-01,2011,operating,0,1,0
Electronics,5800000.0,operating,USA,Boston,1,2015-11-16,2015-11-16,2012,operating,0,1,0
Software,15000000.0,acquired,USA,Redwood Shores,3,2004-02-17,2006-04-05,2000,success,0,0,1
Information Technology|Intelligent Systems|Robotics,248250.0,closed,USA,Boulder,2,2015-01-01,2015-05-14,2015,fail,1,0,0
Incubators|Social Network Media|Startups,68839.0,operating,ITA,Lomazzo,1,2014-01-01,2014-01-01,2014,operating,0,1,0
Software,,operating,DNK,Copenhagen,1,2013-11-29,2013-11-29,2012,operating,0,1,0
Auctions|E-Commerce|Shopping,14000000.0,closed,USA,Mountain View,2,2006-01-01,2009-04-02,2012,fail,1,0,0
Web Hosting,12100000.0,operating,USA,San Francisco,2,2007-06-19,2008-01-28,1999,operating,0,1,0
Cloud Management|Enterprise Software,15500000.0,operating,USA,King Of Prussia,3,2011-09-23,2013-10-09,2004,operating,0,1,0
Automotive,250000.0,closed,USA,Albuquerque,1,2011-09-01,2011-09-01,2011,fail,1,0,0
Android|Games|iOS|Music|SNS|Social Network Media,887303.0,operating,KOR,Seoul,1,2012-01-26,2012-01-26,2011,operating,0,1,0
B2B|Enterprise Software|Finance|Hardware|SaaS|Software,5906514.0,operating,USA,San Antonio,7,2012-10-10,2015-11-23,2012,operating,0,1,0
Food Processing,3000000.0,operating,USA,Allendale,1,2008-03-28,2008-03-28,1979,operating,0,1,0
Carbon|Clean Technology,,operating,ESP,Barcelona,1,2010-09-16,2010-09-16,2012,operating,0,1,0
Biotechnology,4430000.0,operating,FRA,Grenoble,1,2009-03-06,2009-03-06,2005,operating,0,1,0
Hardware + Software,5460000.0,operating,FRA,Clapiers,1,2008-12-02,2008-12-02,1984,operating,0,1,0
Software,25661688.0,operating,USA,San Francisco,7,2007-10-18,2013-02-19,2012,operating,0,1,0
Content|Media|Software,13000000.0,operating,USA,Sunnyvale,1,2006-04-15,2006-04-15,2006,operating,0,1,0
E-Commerce|Fashion,19000.0,closed,USA,Lawrenceville,1,2012-04-19,2012-04-19,2012,fail,1,0,0
Software,4450000.0,operating,GBR,San Francisco,2,2005-04-04,2008-06-23,2012,operating,0,1,0
E-Commerce|Hospitality|Restaurants,100000.0,operating,USA,Chicago,1,2013-02-04,2013-02-04,2012,operating,0,1,0
Consumers,50000.0,closed,RUS,Krasnoyarsk,1,2013-03-08,2013-03-08,2012,fail,1,0,0
Software,,operating,USA,San Bruno,1,1999-11-30,1999-11-30,2012,operating,0,1,0
Real Estate,1200000.0,operating,USA,Durham,1,2015-02-06,2015-02-06,2013,operating,0,1,0
Software,11200000.0,operating,USA,Boston,3,2005-11-01,2009-12-16,2001,operating,0,1,0
Biotechnology,1465000.0,operating,USA,Ann Arbor,2,2009-10-05,2013-02-05,2010,operating,0,1,0
Application Platforms|Data Centers|Software,131750000.0,operating,USA,Austin,5,2010-08-16,2012-10-09,2008,operating,0,1,0
Software,1349142.0,operating,USA,Clarkton,1,2013-02-26,2013-02-26,2011,operating,0,1,0
Crowdfunding|Media|Nonprofits|Social Media,1530625.0,operating,ITA,Naples,2,2012-08-03,2014-03-20,2012,operating,0,1,0
Games,,closed,USA,Glendale,1,2012-06-29,2012-06-29,2012,fail,1,0,0
Manufacturing,16000000.0,ipo,CAN,Montréal,1,2011-08-08,2011-08-08,2006,success,0,0,1
Health and Wellness|Wearables,22000000.0,operating,USA,Cambridge,2,2013-01-01,2014-02-24,2012,operating,0,1,0
Chat|Cloud Computing|Collaboration|Enterprises|File Sharing|Project Management|Task Management|Video Conferencing,2000000.0,operating,USA,Tucson,1,2013-07-23,2013-07-23,2013,operating,0,1,0
Enterprise Software|Open Source|Telecommunications|Telephony,809911.0,operating,USA,Austin,1,2015-10-02,2015-10-02,2011,operating,0,1,0
Curated Web,48000.0,operating,CAN,Vancouver,1,2013-10-24,2013-10-24,2013,operating,0,1,0
E-Commerce,41600000.0,acquired,THA,Bangkok,4,2010-07-01,2015-04-20,2009,success,0,0,1
Advertising|Email Marketing|Internet Marketing|Local Advertising|Local Search|Marketing Automation|Small and Medium Businesses|Telecommunications,4000000.0,operating,USA,Cambridge,3,2012-06-27,2015-08-15,2011,operating,0,1,0
Software,800000.0,operating,USA,New York,1,2015-05-11,2015-05-11,2012,operating,0,1,0
Mobile,,operating,USA,San Francisco,1,2014-02-06,2014-02-06,2013,operating,0,1,0
Software,,operating,ITA,Florence,1,2013-05-10,2013-05-10,2012,operating,0,1,0
Advertising|Internet Marketing|Sales and Marketing|Search Marketing|SEO|Technology|Web Development,250000000.0,operating,USA,Fort Mill,3,2010-08-12,2015-01-07,2000,operating,0,1,0
Apps,1000000.0,operating,IND,Haryana,1,2015-07-24,2015-07-24,2014,operating,0,1,0
Software,300000.0,closed,USA,San Francisco,1,2006-11-20,2006-11-20,2006,fail,1,0,0
Pets,400000.0,closed,USA,San Francisco,1,2013-09-01,2013-09-01,2013,fail,1,0,0
Fashion|Mobile,200000.0,closed,USA,Los Angeles,1,2012-03-01,2012-03-01,2012,fail,1,0,0
Clean Technology,17950000.0,operating,ISR,Yavne,6,2008-01-30,2014-01-30,2007,operating,0,1,0
Cloud Computing|Enterprise Software|Geospatial|Maps,,operating,GBR,London,2,2010-01-01,2010-09-16,2008,operating,0,1,0
Big Data|Energy Efficiency|Farming|Water,3000000.0,operating,USA,San Francisco,1,2015-06-15,2015-06-15,2013,operating,0,1,0
Semiconductors,42450000.0,operating,USA,Santa Clara,5,2004-01-18,2013-03-05,2001,operating,0,1,0
Biotechnology|Image Recognition,42500005.0,operating,USA,Westport,2,2010-11-16,2012-03-19,2001,operating,0,1,0
Manufacturing|Security|Supply Chain Management,1600000.0,operating,USA,San Francisco,1,2014-11-13,2014-11-13,2012,operating,0,1,0
Biotechnology,481268.0,operating,USA,San Diego,1,2012-06-06,2012-06-06,2012,operating,0,1,0
Energy,40000000.0,operating,USA,Houston,1,2008-01-16,2008-01-16,2012,operating,0,1,0
Software,,operating,USA,San Francisco,1,2008-05-01,2008-05-01,2012,operating,0,1,0
SaaS|Software,290000.0,operating,CHL,Santiago,2,2011-12-16,2012-10-01,2009,operating,0,1,0
Mobile,,operating,USA,San Francisco,1,2013-12-01,2013-12-01,2012,operating,0,1,0
Software,2000000.0,operating,IND,Bangalore,1,2013-05-29,2013-05-29,2010,operating,0,1,0
Health Care,1415000.0,operating,USA,Chicago,2,2014-01-21,2014-03-24,2012,operating,0,1,0
Biotechnology|Health Diagnostics,12000000.0,operating,USA,Cambridge,3,2003-09-08,2011-11-29,2001,operating,0,1,0
Software,,operating,SWE,Uppsala,1,2013-07-01,2013-07-01,1999,operating,0,1,0
Crowdfunding|Crowdsourcing|Design|Entrepreneur|Finance,10000000.0,operating,USA,Brooklyn,1,2011-03-18,2011-03-18,2009,operating,0,1,0
Finance,4600000.0,operating,USA,San Francisco,1,2015-11-30,2015-11-30,2012,operating,0,1,0
Software,,acquired,DNK,San Francisco,1,2007-04-04,2007-04-04,2007,success,0,0,1
Mobile,1000000.0,operating,USA,New York,2,2011-11-16,2012-04-05,2011,operating,0,1,0
Advertising|Creative|Internet Marketing|Startups|Technology|Video,60000.0,operating,USA,Oakland,1,2011-11-01,2011-11-01,2011,operating,0,1,0
Big Data|Consumers|Publishing|Social Media Platforms,100000.0,operating,USA,Dublin,1,2014-12-31,2014-12-31,2013,operating,0,1,0
Information Technology,,operating,NLD,Amersfoort,1,2009-11-04,2009-11-04,1983,operating,0,1,0
Clean Technology,51414039.0,operating,USA,Arlington,5,2010-03-22,2014-07-08,2002,operating,0,1,0
Healthcare Services|SaaS,,operating,USA,Columbus,1,2014-12-03,2014-12-03,2012,operating,0,1,0
Biotechnology|Health Care|Medical Devices,687462.0,operating,USA,Raleigh,1,2015-03-31,2015-03-31,2010,operating,0,1,0
iOS|Online Dating|Photo Sharing|Social Media,80000.0,operating,USA,New York,1,2014-02-04,2014-02-04,2012,operating,0,1,0
Cloud Computing|Collaboration|Enterprises|Enterprise Software|Productivity Software|Social Media|Web Tools,13343716.0,operating,USA,San Mateo,8,2006-09-11,2015-08-25,2005,operating,0,1,0
Flash Storage|Software|Storage,6700000.0,operating,USA,Longmont,2,2008-12-01,2010-01-22,2007,operating,0,1,0
Finance|FinTech|Web Hosting,415000.0,acquired,USA,Boulder,2,2007-08-01,2007-10-23,2007,success,0,0,1
Information Technology,,acquired,ZAF,Johannesburg,1,2009-12-28,2009-12-28,2012,success,0,0,1
Photography,,operating,USA,San Francisco,1,2014-03-12,2014-03-12,2012,operating,0,1,0
Oil and Gas|Waste Management|Water,3500000.0,operating,USA,San Francisco,1,2013-10-31,2013-10-31,2012,operating,0,1,0
Flash Sales|Travel,130748.0,operating,ITA,Milan,1,2013-06-05,2013-06-05,2012,operating,0,1,0
Entertainment|Games,3700000.0,operating,USA,New York,2,2011-02-23,2014-09-26,2011,operating,0,1,0
Advertising|Analytics|Location Based Services|Media|Mobile Analytics|Technology,25500000.0,operating,SGP,Singapore,2,2012-11-28,2014-10-15,2012,operating,0,1,0
Security,750000.0,acquired,GBR,Rochester,1,2003-01-01,2003-01-01,2012,success,0,0,1
Bitcoin|Finance|Internet|Mobile Payments|Payments|Service Providers,500000.0,operating,USA,Arcata,1,2014-11-05,2014-11-05,2014,operating,0,1,0
News,311203.0,operating,SWE,Stockholm,1,2011-02-02,2011-02-02,2008,operating,0,1,0
Software,360000.0,operating,USA,Los Angeles,1,2013-01-28,2013-01-28,2012,operating,0,1,0
Certification Test|Curated Web|Education|Testing,,operating,USA,Berkeley,1,2011-02-14,2011-02-14,2009,operating,0,1,0
Public Relations,45000.0,operating,USA,Chicago,1,2013-10-21,2013-10-21,2013,operating,0,1,0
iOS|Mobile|Software,300000.0,operating,EGY,Gizah,1,2013-12-01,2013-12-01,2013,operating,0,1,0
Alumni|Career Management|Social Recruiting|Software,5540000.0,operating,USA,Sunnyvale,3,2004-12-01,2006-05-01,2002,operating,0,1,0
Development Platforms|Information Services|Information Technology,3000000000.0,operating,IND,Mumbai,3,2014-09-25,2015-05-13,2007,operating,0,1,0
Curated Web,65885.0,operating,BGR,Sofia,2,2013-05-01,2013-09-01,2013,operating,0,1,0
Software,,operating,USA,San Francisco,1,2009-12-03,2009-12-03,2012,operating,0,1,0
Travel,20000.0,operating,ARG,Buenos Aires,1,2013-11-19,2013-11-19,2011,operating,0,1,0
Cloud Computing|Enterprise Software|Finance,969471.0,operating,GBR,London,6,2013-01-01,2015-01-01,2012,operating,0,1,0
Biotechnology,210000.0,operating,USA,Tucson,2,2015-06-02,2015-06-02,2009,operating,0,1,0
Education|Systems,31000000.0,acquired,USA,West Des Moines,1,2008-02-26,2008-02-26,2012,success,0,0,1
Apps,1100000.0,operating,USA,New York,1,2014-05-01,2014-05-01,2014,operating,0,1,0
Software,600000.0,operating,USA,Pittsburgh,1,2009-06-22,2009-06-22,1995,operating,0,1,0
Education|Health Care|Technology,41347.0,operating,USA,San Francisco,1,2014-01-01,2014-01-01,2008,operating,0,1,0
Software,,operating,USA,San Francisco,1,2013-08-02,2013-08-02,2012,operating,0,1,0
Cloud Computing|Enterprise Software,144400000.0,operating,USA,San Francisco,3,2012-01-19,2014-05-13,2006,operating,0,1,0
Crowdfunding|Finance,637416.0,operating,FRA,Paris,1,2010-06-15,2010-06-15,2007,operating,0,1,0
Financial Services|FinTech|Investment Management,1500000.0,operating,USA,New York,1,2015-08-12,2015-08-12,2015,operating,0,1,0
Health Care,108000000.0,acquired,USA,Kingwood,1,2011-04-27,2011-04-27,1991,success,0,0,1
Biotechnology|Health Diagnostics,25000000.0,operating,USA,Durham,3,2012-01-20,2015-01-14,2011,operating,0,1,0
Travel & Tourism,3000000.0,operating,USA,East Palo Alto,1,2015-06-25,2015-06-25,2012,operating,0,1,0
Biotechnology|Life Sciences,,operating,DEU,Martinsried,2,2011-06-27,2013-03-08,2007,operating,0,1,0
Semiconductors|Technology,11000000.0,operating,USA,San Jose,1,2007-10-03,2007-10-03,2004,operating,0,1,0
Curated Web|Internet Marketing|Networking|Sales and Marketing|Startups,811268.0,operating,GBR,Norwich,2,2009-11-29,2010-04-02,2009,operating,0,1,0
Biotechnology|Health Diagnostics,2566676.0,operating,USA,San Diego,1,2013-03-26,2013-03-26,2004,operating,0,1,0
Architecture|Blogging Platforms|Crowdsourcing|Curated Web|Design|Fashion|Language Learning|Lifestyle|Translation|Travel|Wine And Spirits,3000000.0,operating,USA,San Francisco,1,2013-05-08,2013-05-08,2012,operating,0,1,0
Social Media,984000.0,acquired,USA,San Francisco,2,2012-01-01,2013-05-15,2012,success,0,0,1
Mobile|Networking|Social Media|Social Search|Transportation,1700000.0,closed,USA,Los Angeles,1,2011-12-01,2011-12-01,2010,fail,1,0,0
Semiconductors,45400000.0,acquired,USA,Austin,6,2006-02-01,2010-11-23,2006,success,0,0,1
Education|Language Learning|Training,235682.0,operating,USA,San Francisco,1,2014-08-04,2014-08-04,2012,operating,0,1,0
Security,,operating,USA,Las Vegas,1,2013-07-21,2013-07-21,2012,operating,0,1,0
Price Comparison|Storage|Transportation,3000000.0,operating,USA,New York,1,2013-10-02,2013-10-02,2012,operating,0,1,0
Bitcoin|Financial Services|FinTech|Real Estate|Real Estate Investors,350000.0,operating,USA,New York,1,2014-10-01,2014-10-01,2014,operating,0,1,0
Digital Media,20000.0,operating,POL,Warsaw,1,2015-01-01,2015-01-01,2012,operating,0,1,0
Software,20000000.0,operating,USA,Columbus,2,2013-04-04,2015-04-13,2012,operating,0,1,0
E-Commerce|Retail|Subscription Businesses,500000.0,operating,USA,Providence,1,2011-08-01,2011-08-01,2010,operating,0,1,0
Web Hosting,200000000.0,closed,USA,Frisco,1,2008-09-10,2008-09-10,2012,fail,1,0,0
Security,2400000.0,acquired,USA,Lafayette,3,2012-11-21,2014-05-29,2003,success,0,0,1
Consumer Goods|E-Commerce|Online Shopping,300000.0,operating,THA,Bangkok,1,2015-04-09,2015-04-09,2013,operating,0,1,0
Content Delivery|Mobile Commerce|Wine And Spirits,4500000.0,operating,USA,Los Angeles,1,2015-09-01,2015-09-01,2013,operating,0,1,0
Beauty|Fashion|Technology,300000.0,operating,USA,Los Angeles,1,2014-01-01,2014-01-01,2013,operating,0,1,0
Mobile,,operating,USA,Faribault,1,2014-09-19,2014-09-19,2005,operating,0,1,0
E-Commerce,5010000.0,operating,USA,Raleigh,4,2014-02-10,2015-12-02,2012,operating,0,1,0
Mobile,1000000.0,operating,USA,San Francisco,2,2013-10-01,2014-03-01,2012,operating,0,1,0
Biotechnology,2000000.0,operating,USA,Emeryville,1,2014-03-24,2014-03-24,2009,operating,0,1,0
Business Services|Internet|Marketplaces,93808.0,operating,CAN,Bridgewater,1,2014-07-01,2014-07-01,2014,operating,0,1,0
Internet|Retail,37500.0,operating,USA,Austin,1,2010-10-19,2010-10-19,2012,operating,0,1,0
Software,25000.0,operating,USA,Colorado Springs,1,2011-11-01,2011-11-01,2010,operating,0,1,0
Robotics|Startups,50000.0,operating,USA,San Francisco,1,2015-02-01,2015-02-01,2015,operating,0,1,0
Email|Facebook Applications|Social Media|Software,,operating,USA,San Francisco,1,2014-05-03,2014-05-03,2010,operating,0,1,0
Curated Web,50000.0,operating,SGP,Singapore,1,2010-01-01,2010-01-01,2011,operating,0,1,0
Software,,operating,USA,San Francisco,1,2012-10-09,2012-10-09,2012,operating,0,1,0
Enterprise Software|Software|Technology,79000000.0,ipo,USA,Sunnyvale,5,2003-10-14,2008-02-26,2002,success,0,0,1
Mobile,300000000.0,operating,IND,Chennai,1,2008-02-01,2008-02-01,2012,operating,0,1,0
Semiconductors,37570000.0,operating,FIN,Espoo,4,2004-09-22,2011-05-18,2000,operating,0,1,0
Information Technology|Privacy|Security,3000000.0,operating,USA,New York,1,2014-05-19,2014-05-19,2006,operating,0,1,0
Email|File Sharing|Software,100000.0,closed,RUS,Moscow,1,2012-02-10,2012-02-10,2012,fail,1,0,0
Clean Technology,120000000.0,operating,CAN,Calgary,1,2013-10-04,2013-10-04,2008,operating,0,1,0
Advertising|E-Commerce,6000000.0,acquired,USA,San Francisco,1,2011-09-15,2011-09-15,2008,success,0,0,1
Software,22300000.0,operating,USA,New York,3,2011-01-01,2014-04-28,2010,operating,0,1,0
Health and Wellness|Health Care,34722866.0,ipo,USA,Austin,2,2007-09-13,2012-05-08,2004,success,0,0,1
Health Care|Health Care Information Technology|Sensors,1674801.38667086,operating,DNK,Copenhagen,2,2014-08-26,2015-11-11,2014,operating,0,1,0
Manufacturing,21214500.0,operating,BRA,Itá,1,2011-08-11,2011-08-11,2012,operating,0,1,0
E-Commerce|Mobile Payments,75000.0,operating,USA,Santa Monica,1,2013-07-31,2013-07-31,2013,operating,0,1,0
Software,,operating,USA,San Francisco,1,2014-11-17,2014-11-17,2012,operating,0,1,0
Collaboration|Communities|Enterprises,20000.0,operating,USA,San Francisco,2,2014-01-15,2014-11-15,2013,operating,0,1,0
Payments,266000000.0,operating,NLD,Amsterdam,3,2011-08-22,2015-09-30,2006,operating,0,1,0
Security,4575400.0,acquired,USA,Bethel Park,2,2013-02-21,2014-04-15,2012,success,0,0,1
Fashion,2925000.0,operating,USA,Portland,3,2013-03-11,2015-10-27,2011,operating,0,1,0
SaaS|Software|Telecommunications,50000.0,operating,USA,Cincinnati,1,2014-05-01,2014-05-01,2012,operating,0,1,0
Fitness|Software,30000.0,operating,POL,Warszawa,1,2014-12-24,2014-12-24,2014,operating,0,1,0
Advertising,5000000.0,closed,USA,San Francisco,1,2008-01-23,2008-01-23,2004,fail,1,0,0
Biotechnology,14732412.0,operating,USA,Morristown,3,2013-02-08,2015-04-15,2011,operating,0,1,0
Advertising|Games|Media|Video on Demand,1500000.0,operating,LBN,Beirut,1,2014-12-07,2014-12-07,2011,operating,0,1,0
Collaboration|Crowdsourcing|Design|Market Research|Services|Social Media|Software,2401536.0,acquired,USA,Boulder,3,2010-12-01,2012-01-09,2009,success,0,0,1
Search|Semantic Search|Semantic Web,1100000.0,closed,HUN,Budapest,3,2007-09-01,2010-05-25,2007,fail,1,0,0
Biotechnology,716666.0,operating,USA,Minneapolis,2,2012-08-09,2012-10-25,2012,operating,0,1,0
E-Commerce,60000.0,operating,IND,Goa,3,2013-08-01,2014-04-04,2012,operating,0,1,0
Biotechnology,,operating,DEU,Martinsried,1,2015-07-22,2015-07-22,2003,operating,0,1,0
Ad Targeting|Classifieds|E-Commerce,2378808.0,operating,USA,San Francisco,1,2015-01-29,2015-01-29,2012,operating,0,1,0
Software,,operating,GBR,Cambridge,1,2015-10-01,2015-10-01,2013,operating,0,1,0
Application Platforms|Gambling|Games|Mobile|Software,2445000.0,operating,USA,Oakland,2,2012-01-01,2014-02-03,2012,operating,0,1,0
Software,170000.0,operating,USA,San Francisco,2,2014-12-01,2015-04-01,2015,operating,0,1,0
Algorithms|Real Estate|SEO,435413.0,operating,GBR,London,1,2009-01-05,2009-01-05,2009,operating,0,1,0
Information Services|Information Technology|Security,2250000.0,operating,GBR,London,2,2014-12-01,2015-11-12,2014,operating,0,1,0
Big Data|E-Commerce|Internet TV|Personalization|Television|Video on Demand|Video Streaming,20500000.0,operating,LVA,Riga,5,2012-06-01,2015-01-10,2011,operating,0,1,0
Clean Energy|Clean Technology|Services,750000.0,closed,USA,Del Mar,1,2015-03-08,2015-03-08,2015,fail,1,0,0
Legal,25000.0,closed,USA,North Miami Beach,1,2013-03-01,2013-03-01,2010,fail,1,0,0
Education|Recruiting,,operating,SGP,Singapore,1,2014-03-28,2014-03-28,2013,operating,0,1,0
Hardware + Software,150000.0,ipo,USA,Hamden,1,2009-05-19,2009-05-19,1986,success,0,0,1
Software,6000000.0,closed,USA,San Francisco,1,2015-11-09,2015-11-09,2014,fail,1,0,0
Health Care,51954587.0,acquired,USA,Morrisville,6,2009-04-09,2014-11-13,2005,success,0,0,1
Security,,acquired,USA,Santa Clara,1,1991-09-30,1991-09-30,1987,success,0,0,1
Biotechnology,46543600.0,operating,USA,Kalamazoo,4,2010-10-24,2015-09-25,2012,operating,0,1,0
Ad Targeting|Advertising|Apps|Brand Marketing|Mobile|Publishing|Sales and Marketing|Services|Wireless,,acquired,USA,Venice,1,2010-05-15,2010-05-15,2010,success,0,0,1
Career Management|Employment|Recruiting|Social Media,161500000.0,operating,USA,Mill Valley,6,2008-03-27,2015-01-06,2007,operating,0,1,0
Manufacturing|Medical|Medical Devices,8500000.0,operating,USA,Maple Grove,1,2007-12-10,2007-12-10,2012,operating,0,1,0
Cloud Security|Email|Enterprise Software|Health Care Information Technology|SaaS,30000.0,operating,USA,San Francisco,1,2015-05-25,2015-05-25,2014,operating,0,1,0
Analytics,10028500.0,operating,USA,San Francisco,11,2010-07-26,2015-08-13,2010,operating,0,1,0
Games,4500000.0,closed,USA,Austin,1,2008-07-10,2008-07-10,2012,fail,1,0,0
Game|Online Gaming|Sports,12273.0,operating,USA,San Francisco,1,2012-08-01,2012-08-01,2012,operating,0,1,0
Android|Apps|Consumer Electronics|E-Commerce|Entertainment|Facebook Applications|iOS|Mobile|Music|Television|Twitter Applications|Video Streaming,1050000.0,operating,USA,Palo Alto,2,2012-10-01,2013-07-09,2012,operating,0,1,0
Health and Wellness,300000.0,operating,USA,Bel Air,1,2012-03-01,2012-03-01,2012,operating,0,1,0
Information Technology,600000.0,operating,JPN,Tokyo,2,2014-08-28,2014-09-19,2009,operating,0,1,0
Manufacturing,300000.0,operating,CHN,Hangzhou,1,2013-12-01,2013-12-01,2012,operating,0,1,0
Curated Web|Reputation|Reviews and Recommendations,116900000.0,operating,DNK,Copenhagen,5,2011-01-28,2015-05-28,2007,operating,0,1,0
Curated Web,,operating,USA,San Francisco,1,2012-08-01,2012-08-01,2012,operating,0,1,0
Hardware + Software,65864387.0,operating,GBR,Cambridge,5,2006-04-04,2015-04-30,2012,operating,0,1,0
Hospitality,5000000.0,operating,USA,Dallas,1,2011-09-20,2011-09-20,2008,operating,0,1,0
Software,,closed,USA,San Francisco,1,1999-12-02,1999-12-02,2012,fail,1,0,0
Software,950000.0,operating,USA,Elyria,2,2006-12-01,2007-03-01,2012,operating,0,1,0
Bitcoin,99661.1520829181,operating,HUN,San Francisco,1,2014-12-01,2014-12-01,2014,operating,0,1,0
Curated Web|Guides|Travel,65000.0,operating,CHL,Santiago,2,2011-12-16,2012-03-01,2012,operating,0,1,0
Games|Social Games|Television,5000000.0,operating,GBR,London,1,2011-10-25,2011-10-25,1999,operating,0,1,0
E-Commerce,86928000.0,operating,FRA,Paris,1,2011-07-02,2011-07-02,2012,operating,0,1,0
Biotechnology|Health and Wellness|Health Care,7200000.0,operating,CAN,Montréal,2,2015-03-12,2015-09-21,2012,operating,0,1,0
Software,925249.0,operating,USA,Coal Township,1,2015-05-04,2015-05-04,2000,operating,0,1,0
Clean Technology,20000000.0,ipo,AUS,San Francisco,1,2014-11-03,2014-11-03,2012,success,0,0,1
Software,55000.0,operating,USA,Portland,1,2011-01-14,2011-01-14,2010,operating,0,1,0
Data Security|Enterprise Software|Security,4246029.0,operating,USA,San Francisco,4,2010-09-01,2014-07-22,2007,operating,0,1,0
Biotechnology,22585000.0,acquired,DEU,Gemünden,2,2009-11-20,2011-02-16,2004,success,0,0,1
B2B|Gamification|Human Resources,1000000.0,operating,CAN,Montréal,1,2015-04-01,2015-04-01,2014,operating,0,1,0
E-Commerce,11500000.0,operating,IND,Mumbai,1,2013-03-08,2013-03-08,2001,operating,0,1,0
Transportation,680000.0,operating,USA,Washington,1,2014-07-14,2014-07-14,2010,operating,0,1,0
Film,25000000.0,operating,USA,Brooklyn,1,2015-10-25,2015-10-25,2013,operating,0,1,0
Biotechnology,37400000.0,operating,USA,Encinitas,3,2010-09-14,2014-09-09,2007,operating,0,1,0
Assisitive Technology|Innovation Engineering|Real Time,3600000.0,operating,CHE,Zürich,1,2011-08-18,2011-08-18,2003,operating,0,1,0
Curated Web|Music,68396.0,operating,GBR,Sittingbourne,1,2013-04-22,2013-04-22,2013,operating,0,1,0
Big Data|E-Commerce|Software|Travel,2440000.0,operating,GBR,London,2,2014-10-01,2015-09-10,2014,operating,0,1,0
Games|Kids|MMO Games|Mobile Games|Publishing|Technology,2300000.0,closed,USA,San Mateo,1,2010-03-26,2010-03-26,2007,fail,1,0,0
Software,,operating,USA,Los Angeles,1,2015-04-01,2015-04-01,2015,operating,0,1,0
Android|Content Discovery|Cooking|Developer APIs|Ediscovery|Fitness|Groceries|Health and Wellness|Hospitality|iOS|Mobile|Mobile Commerce|Personalization|Recipes|Semantic Search,24158698.0,operating,USA,Redwood City,5,2010-08-30,2015-09-01,2009,operating,0,1,0
Food Processing|Restaurants,600000.0,operating,IND,New Delhi,1,2015-09-17,2015-09-17,2012,operating,0,1,0
Software,,operating,NLD,San Francisco,1,2013-01-01,2013-01-01,2012,operating,0,1,0
Fitness|Health and Wellness|Technology|Wearables,64396675.0,acquired,USA,San Francisco,5,2011-11-23,2014-12-02,2011,success,0,0,1
Software,3039567.0,operating,USA,Columbia,7,2005-01-01,2015-08-05,1996,operating,0,1,0
Enterprise Software|Human Resources,400000.0,operating,USA,Washington,1,2014-07-18,2014-07-18,2013,operating,0,1,0
Business Services|Consumers|Credit,465326.0,operating,USA,Santa Monica,1,2009-07-16,2009-07-16,2012,operating,0,1,0
Biotechnology,4000000.0,operating,GBR,Bedford,1,2010-01-26,2010-01-26,2012,operating,0,1,0
Games,1300000.0,operating,FRA,Paris,1,2005-02-22,2005-02-22,2012,operating,0,1,0
Artificial Intelligence|Content Discovery|Face Recognition|Image Recognition|Monetization|Video,800000.0,operating,USA,Palo Alto,2,2014-04-11,2014-09-01,2012,operating,0,1,0
Consumer Internet|Parenting|Payments,725000.0,operating,USA,Denver,2,2014-11-24,2015-04-09,2012,operating,0,1,0
SaaS|Software|Sports,73000.0,operating,USA,Los Angeles,1,2014-11-17,2014-11-17,2014,operating,0,1,0
Business Intelligence,1000000.0,operating,CZE,Prague,1,2013-01-01,2013-01-01,2015,operating,0,1,0
E-Commerce|Finance|Lifestyle|Tourism|Travel,1300000.0,operating,CHN,Shanghai,3,2011-09-07,2013-11-01,2010,operating,0,1,0
Advertising|Advertising Platforms|Internet Marketing,2150000.0,operating,USA,New York,2,2013-08-28,2014-12-22,2013,operating,0,1,0
Internet of Things|M2M|Semiconductors|Smart Building,,operating,GBR,Royal Wootton Bassett,2,2011-09-01,2013-12-20,2008,operating,0,1,0
Technology,20000000.0,operating,NGA,Lagos,1,2015-08-11,2015-08-11,2012,operating,0,1,0
Cloud Management|Enterprise Software|Marketing Automation|SaaS|Software,5180000.0,operating,USA,Seattle,3,2012-12-16,2014-10-08,2011,operating,0,1,0
Curated Web,14394888.0,operating,GBR,San Francisco,1,2014-01-13,2014-01-13,2012,operating,0,1,0
Email|Security|Software,,acquired,USA,East Northport,1,2001-03-30,2001-03-30,1995,success,0,0,1
Collaboration|Freemium|Photo Sharing|Productivity Software|SaaS,40000.0,operating,USA,San Francisco,1,2015-01-05,2015-01-05,2014,operating,0,1,0
Software,5930000.0,operating,FRA,Issy-les-moulineaux,2,2005-04-06,2007-04-05,2008,operating,0,1,0
Fertility|Manufacturing,,operating,USA,Newport Beach,1,2015-07-27,2015-07-27,2014,operating,0,1,0
